drug1,drug2,description,severity
Aspirin,Warfarin,Major bleeding risk due to combined anticoagulant and antiplatelet effects.,Severe
Clopidogrel,Omeprazole,"Omeprazole inhibits CYP2C19, reducing antiplatelet activity of clopidogrel.",Severe
Tramadol,Sertraline,Risk of serotonin syndrome from combined serotonergic mechanisms.,Severe
Warfarin,Fluconazole,"Fluconazole inhibits CYP enzymes, raising warfarin levels and bleeding risk.",Severe
Sildenafil,Nitroglycerin,Dangerous hypotension due to synergistic vasodilation.,Severe
Lithium,NSAIDs,NSAIDs reduce lithium clearance leading to possible toxicity.,Severe
Theophylline,Ciprofloxacin,Ciprofloxacin inhibits theophylline metabolism causing toxic accumulation.,Severe
Digoxin,Amiodarone,Amiodarone increases serum digoxin concentration risking toxicity.,Severe
Carbamazepine,Erythromycin,Erythromycin inhibits CYP3A4 raising carbamazepine levels.,Severe
MAOIs,SSRIs,Combination may cause life‑threatening serotonin syndrome.,Severe
Linezolid,SSRI,Serotonin syndrome risk due to MAOI‑like properties of linezolid.,Severe
Rifampin,Warfarin,Rifampin induces CYP enzymes drastically reducing warfarin effectiveness.,Severe
Clarithromycin,Colchicine,"Clarithromycin inhibits metabolism of colchicine, causing toxicity.",Severe
Amiodarone,Sotalol,Excessive QT prolongation increasing arrhythmia risk.,Severe
Methotrexate,Trimethoprim,Additive folate antagonism may cause marrow suppression.,Severe
Statins,Strong CYP3A4 inhibitors,Marked increase in statin levels leading to rhabdomyolysis risk.,Severe
Warfarin,Bactrim,Sulfamethoxazole-trimethoprim elevates warfarin effect increasing bleeding.,Severe
Phenelzine,Meperidine,Combination may precipitate severe serotonin toxicity.,Severe
Azathioprine,Allopurinol,Allopurinol increases azathioprine levels leading to bone marrow toxicity.,Severe
Macrolides,Terfenadine,QT prolongation may cause life‑threatening arrhythmias.,Severe
Ketoconazole,Dofetilide,Marked QT prolongation with torsades de pointes risk.,Severe
Tetracycline,Isotretinoin,Risk of pseudotumor cerebri from increased intracranial pressure.,Severe
Cisapride,CYP3A4 inhibitors,Dangerous QT prolongation and arrhythmia risk.,Severe
Alcohol,Metronidazole,Disulfiram-like reaction causing severe nausea and cardiovascular stress.,Severe
Valproate,Lamotrigine,Valproate inhibits lamotrigine metabolism leading to severe rash risk.,Severe
Warfarin,Metronidazole,Metronidazole increases warfarin effects raising bleeding risk.,Severe
Tramadol,MAOIs,Risk of extreme serotonin syndrome and hypertensive crisis.,Severe
Oxycodone,Benzodiazepines,High risk of fatal respiratory depression.,Severe
Methadone,CYP3A4 inhibitors,Increased methadone levels may cause cardiac arrhythmias.,Severe
Fentanyl,CYP3A4 inhibitors,Dramatically elevated fentanyl concentrations causing respiratory arrest.,Severe
Amlodipine,Metoprolol,Enhanced blood pressure reduction and bradycardia risk.,Moderate
Lisinopril,Furosemide,Additive hypotensive effects especially after initial dosing.,Moderate
Diltiazem,Simvastatin,Diltiazem raises simvastatin levels via CYP3A4 inhibition.,Moderate
Sertraline,Metoprolol,SSRIs inhibit metabolism of metoprolol increasing levels.,Moderate
Losartan,Ibuprofen,NSAIDs may blunt antihypertensive effect of losartan.,Moderate
Prednisone,NSAIDs,Combined use heightens GI irritation and ulcer risk.,Moderate
Metformin,Cimetidine,Cimetidine may decrease renal clearance of metformin.,Moderate
Amlodipine,Simvastatin,"Amlodipine increases exposure to simvastatin, dose limit advised.",Moderate
Verapamil,Atenolol,Risk of excessive bradycardia and AV block.,Moderate
Grapefruit Juice,Calcium Channel Blockers,Grapefruit inhibits CYP3A4 raising drug concentrations.,Moderate
Hydrochlorothiazide,ACE inhibitors,Enhanced hypotensive effect especially initially.,Moderate
Fluoxetine,Tricyclic antidepressants,Fluoxetine increases TCA levels via CYP inhibition.,Moderate
Propranolol,Albuterol,Beta‑blockers reduce the bronchodilator effect of albuterol.,Moderate
Nifedipine,Rifampin,Rifampin induces metabolism reducing nifedipine efficacy.,Moderate
Lamotrigine,Oral Contraceptives,OCs increase lamotrigine clearance reducing effectiveness.,Moderate
Cyclosporine,NSAIDs,Combined nephrotoxicity risk.,Moderate
Salmeterol,Fluconazole,Fluconazole can enhance salmeterol systemic exposure.,Moderate
Metoprolol,Fluoxetine,Fluoxetine inhibits CYP2D6 raising metoprolol levels.,Moderate
Allopurinol,ACE inhibitors,Rare hypersensitivity risk increased.,Moderate
Clonidine,Beta‑blockers,Risk of rebound hypertension if clonidine stopped abruptly.,Moderate
Tamsulosin,Sildenafil,Additive blood pressure‑lowering effect.,Moderate
